,task,conversation_id,instruction_id,index,speaker,text,segments,new_text,Gold labels,DA_indicators_sent,DA_rep_init,DA_rep,DA_greet,DA_req_sum,DA_conf,DA_receipt,DA_disconf,DA_inquiry,DA_closer,all_DA
99088,hotels,dlg-0371d8ba-a107-4207-b1bb-33f8e661a891,hotel-16,7,USER,Residence Inn by Marriot sounds really good.,"[{'start_index': 0, 'end_index': 24, 'text': 'Residence Inn by Marriot', 'annotations': [{'name': 'hotel3_detail.name.hotel'}]}]",Residence Inn by Marriot sounds really good.,,x,,,,,,,,,,[]
99089,hotels,dlg-0371d8ba-a107-4207-b1bb-33f8e661a891,hotel-16,8,ASSISTANT,Do you want me to make the reservation?,,Do you want me to make the reservation?,,x,,,,,,,,inquiry,,['inquiry']
99090,hotels,dlg-0371d8ba-a107-4207-b1bb-33f8e661a891,hotel-16,9,USER,"Yeah, please, go ahead.",,"Yeah, please, go ahead.",,confirmation,,,,,confirmation,,,,,['confirmation']
99091,hotels,dlg-0371d8ba-a107-4207-b1bb-33f8e661a891,hotel-16,10,ASSISTANT,Okay. Reservation has been made. Details have been sent to your email.,"[{'start_index': 6, 'end_index': 31, 'text': 'Reservation has been made', 'annotations': [{'name': 'hotel_booked.hotel_booked'}]}]",Okay.,,confirmation,,,,,confirmation,,,,sequence_closer,"['confirmation', 'sequence_closer']"
99092,hotels,dlg-0371d8ba-a107-4207-b1bb-33f8e661a891,hotel-16,10,ASSISTANT,Okay. Reservation has been made. Details have been sent to your email.,"[{'start_index': 6, 'end_index': 31, 'text': 'Reservation has been made', 'annotations': [{'name': 'hotel_booked.hotel_booked'}]}]",Reservation has been made.,,x,,,,,,,,,,[]
99093,hotels,dlg-0371d8ba-a107-4207-b1bb-33f8e661a891,hotel-16,10,ASSISTANT,Okay. Reservation has been made. Details have been sent to your email.,"[{'start_index': 6, 'end_index': 31, 'text': 'Reservation has been made', 'annotations': [{'name': 'hotel_booked.hotel_booked'}]}]",Details have been sent to your email.,,x,,,,,,,,,,[]
99094,hotels,dlg-0371d8ba-a107-4207-b1bb-33f8e661a891,hotel-16,11,USER,Thank you.,,Thank you.,,sequence_closer,,,,,,,,,sequence_closer,['sequence_closer']
99095,hotels,dlg-0371d8ba-a107-4207-b1bb-33f8e661a891,hotel-16,12,ASSISTANT,"Until next time, bye.",,"Until next time, bye.",,x,,,,,,,,,,[]
99096,hotels,dlg-0371d8ba-a107-4207-b1bb-33f8e661a891,hotel-16,13,USER,Bye.,,Bye.,,x,,,,,,,,,,[]
107360,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,0,USER,I would like to find out more about the hotel I planned to stay at.,,I would like to find out more about the hotel I planned to stay at.,,x,,,,,,,,,,[]
107361,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,1,ASSISTANT,Okay. What is the name of the hotel?,,Okay.,,confirmation,,,,,confirmation,,,,sequence_closer,"['confirmation', 'sequence_closer']"
107362,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,1,ASSISTANT,Okay. What is the name of the hotel?,,What is the name of the hotel?,,repair_initiator,repair_initiator,,,,,,,inquiry,,"['repair_initiator', 'inquiry']"
107363,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,2,USER,"Marriott's Summit Watch, Park City, Utah.","[{'start_index': 0, 'end_index': 23, 'text': ""Marriott's Summit Watch"", 'annotations': [{'name': 'hotel_search.name.hotel'}]}, {'start_index': 25, 'end_index': 40, 'text': 'Park City, Utah', 'annotations': [{'name': 'hotel_search.location.hotel'}]}]","Marriott's Summit Watch, Park City, Utah.",,x,,,,,,,,,,[]
107364,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,3,ASSISTANT,Okay.,,Okay.,,confirmation,,,,,confirmation,,,,sequence_closer,"['confirmation', 'sequence_closer']"
107365,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,4,USER,And my date of journey's between 22nd to 24th of December.,"[{'start_index': 25, 'end_index': 57, 'text': 'between 22nd to 24th of December', 'annotations': [{'name': 'hotel_search.date_range'}]}]",And my date of journey's between 22nd to 24th of December.,,x,,,,,,,,,,[]
107366,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,5,ASSISTANT,Okay. What would you like to know?,,Okay.,,confirmation,,,,,confirmation,,,,sequence_closer,"['confirmation', 'sequence_closer']"
107367,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,5,ASSISTANT,Okay. What would you like to know?,,What would you like to know?,,repair_initiator,repair_initiator,,,,,,,inquiry,,"['repair_initiator', 'inquiry']"
107368,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,6,USER,I would like to know that does the hotel have a restaurant?,"[{'start_index': 46, 'end_index': 58, 'text': 'a restaurant', 'annotations': [{'name': 'hotel_search.amenity'}]}]",I would like to know that does the hotel have a restaurant?,,x,,,,,,,,inquiry,,['inquiry']
107369,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,7,ASSISTANT,The hotel unfortunately does not have a resaurant.,"[{'start_index': 38, 'end_index': 49, 'text': 'a resaurant', 'annotations': [{'name': 'hotel1_detail.amenity'}]}]",The hotel unfortunately does not have a resaurant.,,x,,,,,,,,,,[]
107370,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,8,USER,Okay. And does it have a pool and hot tub?,"[{'start_index': 23, 'end_index': 29, 'text': 'a pool', 'annotations': [{'name': 'hotel_search.amenity'}]}, {'start_index': 34, 'end_index': 41, 'text': 'hot tub', 'annotations': [{'name': 'hotel_search.amenity'}]}]",Okay.,,confirmation,,,,,confirmation,,,,sequence_closer,"['confirmation', 'sequence_closer']"
107371,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,8,USER,Okay. And does it have a pool and hot tub?,"[{'start_index': 23, 'end_index': 29, 'text': 'a pool', 'annotations': [{'name': 'hotel_search.amenity'}]}, {'start_index': 34, 'end_index': 41, 'text': 'hot tub', 'annotations': [{'name': 'hotel_search.amenity'}]}]",And does it have a pool and hot tub?,,x,,,,,,,,inquiry,,['inquiry']
107372,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,9,ASSISTANT,Yes.,,Yes.,,confirmation,,,,,confirmation,,,,,['confirmation']
107373,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,10,USER,And does it have balcony and terrace?,"[{'start_index': 17, 'end_index': 24, 'text': 'balcony', 'annotations': [{'name': 'hotel_search.amenity'}]}, {'start_index': 29, 'end_index': 36, 'text': 'terrace', 'annotations': [{'name': 'hotel_search.amenity'}]}]",And does it have balcony and terrace?,,x,,,,,,,,inquiry,,['inquiry']
107374,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,11,ASSISTANT,No balconies and no terraces.,"[{'start_index': 3, 'end_index': 12, 'text': 'balconies', 'annotations': [{'name': 'hotel1_detail.amenity'}]}, {'start_index': 20, 'end_index': 28, 'text': 'terraces', 'annotations': [{'name': 'hotel1_detail.amenity'}]}]",No balconies and no terraces.,,disconfirmation,,,,,,,disconfirmation,,,['disconfirmation']
107375,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,12,USER,And what will be the price of the hotel?,,And what will be the price of the hotel?,,repair_initiator,repair_initiator,,,,,,,inquiry,,"['repair_initiator', 'inquiry']"
107376,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,13,ASSISTANT,How many rooms?,,How many rooms?,,x,,,,,,,,inquiry,,['inquiry']
107377,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,14,USER,One room.,"[{'start_index': 0, 'end_index': 8, 'text': 'One room', 'annotations': [{'name': 'hotel_search.num.rooms'}]}]",One room.,,x,,,,,,,,,,[]
107378,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,15,ASSISTANT,$349 per night.,"[{'start_index': 0, 'end_index': 14, 'text': '$349 per night', 'annotations': [{'name': 'hotel1_detail.price_per_night'}]}]",$349 per night.,,x,,,,,,,,,,[]
107379,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,16,USER,That sounds great. Thank you so much for your help.,,That sounds great.,,sequence_closer,,,,,,,,,sequence_closer,['sequence_closer']
107380,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,16,USER,That sounds great. Thank you so much for your help.,,Thank you so much for your help.,,sequence_closer,,,,,,,,,sequence_closer,['sequence_closer']
107381,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,17,ASSISTANT,Ask more questions please.,,Ask more questions please.,,x,,,,,,,,,,[]
107382,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,18,USER,NBC TV flat-screen TV?,"[{'start_index': 0, 'end_index': 21, 'text': 'NBC TV flat-screen TV', 'annotations': [{'name': 'hotel_search.amenity'}]}]",NBC TV flat-screen TV?,,x,,,,,,,,inquiry,,['inquiry']
107383,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,19,ASSISTANT,Yes it has a flat-screen TV.,"[{'start_index': 11, 'end_index': 27, 'text': 'a flat-screen TV', 'annotations': [{'name': 'hotel1_detail.amenity'}]}]",Yes it has a flat-screen TV.,,confirmation,,,,,confirmation,,,,,['confirmation']
107384,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,20,USER,And does it have spa or a gym?,"[{'start_index': 17, 'end_index': 20, 'text': 'spa', 'annotations': [{'name': 'hotel_search.amenity'}]}, {'start_index': 24, 'end_index': 29, 'text': 'a gym', 'annotations': [{'name': 'hotel_search.amenity'}]}]",And does it have spa or a gym?,,x,,,,,,,,inquiry,,['inquiry']
107385,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,21,ASSISTANT,Yes it has a spa and a gym.,"[{'start_index': 11, 'end_index': 16, 'text': 'a spa', 'annotations': [{'name': 'hotel1_detail.amenity'}]}, {'start_index': 21, 'end_index': 26, 'text': 'a gym', 'annotations': [{'name': 'hotel1_detail.amenity'}]}]",Yes it has a spa and a gym.,,confirmation,,,,,confirmation,,,,,['confirmation']
107386,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,22,USER,That sounds great. Thank you so much.,,That sounds great.,,sequence_closer,,,,,,,,,sequence_closer,['sequence_closer']
107387,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,22,USER,That sounds great. Thank you so much.,,Thank you so much.,,sequence_closer,,,,,,,,,sequence_closer,['sequence_closer']
107388,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,23,ASSISTANT,So next time remember to ask more questions. Otherwise you won't get the code.,,So next time remember to ask more questions.,,x,,,,,,,,,,[]
107389,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,23,ASSISTANT,So next time remember to ask more questions. Otherwise you won't get the code.,,Otherwise you won't get the code.,,x,,,,,,,,,,[]
107390,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,24,USER,Okay.,,Okay.,,confirmation,,,,,confirmation,,,,sequence_closer,"['confirmation', 'sequence_closer']"
107391,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,25,USER,Okay. Sound good.,,Okay.,,confirmation,,,,,confirmation,,,,sequence_closer,"['confirmation', 'sequence_closer']"
107392,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,25,USER,Okay. Sound good.,,Sound good.,,x,,,,,,,,,,[]
107393,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,26,ASSISTANT,Okay. Thank you.,,Okay.,,confirmation,,,,,confirmation,,,,sequence_closer,"['confirmation', 'sequence_closer']"
107394,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,26,ASSISTANT,Okay. Thank you.,,Thank you.,,sequence_closer,,,,,,,,,sequence_closer,['sequence_closer']
107395,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,27,USER,Thank you so much. Bye.,,Thank you so much.,,sequence_closer,,,,,,,,,sequence_closer,['sequence_closer']
107396,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,27,USER,Thank you so much. Bye.,,Bye.,,x,,,,,,,,,,[]
107397,hotels,dlg-1b4bc5eb-1ff3-495f-a875-18a880f9d385,hotel-1,28,ASSISTANT,Goodbye.,,Goodbye.,,x,,,,,,,,,,[]
118010,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,0,USER,"Hi, I'd like help in finding a hotel in West Palm Beach, Florida.","[{'start_index': 40, 'end_index': 64, 'text': 'West Palm Beach, Florida', 'annotations': [{'name': 'hotel_search.location.hotel'}]}]","Hi, I'd like help in finding a hotel in West Palm Beach, Florida.",,greeting,,,greeting,,,,,,,['greeting']
118011,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,1,ASSISTANT,How can I help you?,,How can I help you?,,x,,,,,,,,inquiry,,['inquiry']
118012,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,2,ASSISTANT,How many people will be there?,,How many people will be there?,,x,,,,,,,,inquiry,,['inquiry']
118013,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,3,USER,Two people.,"[{'start_index': 0, 'end_index': 3, 'text': 'Two', 'annotations': [{'name': 'hotel_search.num.guests'}]}]",Two people.,,x,,,,,,,,,,[]
118014,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,4,ASSISTANT,How many beds or rooms do you need?,,How many beds or rooms do you need?,,x,,,,,,,,inquiry,,['inquiry']
118015,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,5,USER,I would like to have two queen-size beds if possible.,"[{'start_index': 21, 'end_index': 24, 'text': 'two', 'annotations': [{'name': 'hotel_search. num.beds'}]}, {'start_index': 25, 'end_index': 40, 'text': 'queen-size beds', 'annotations': [{'name': 'hotel_search.type.bed'}]}]",I would like to have two queen-size beds if possible.,,x,,,,,,,,,,[]
118016,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,6,ASSISTANT,"Okay, when do you want to check in and check out?",,"Okay, when do you want to check in and check out?",,confirmation,,,,,confirmation,,,inquiry,sequence_closer,"['confirmation', 'inquiry', 'sequence_closer']"
118017,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,7,USER,"Possibly, June 10th through June 15th.","[{'start_index': 10, 'end_index': 37, 'text': 'June 10th through June 15th', 'annotations': [{'name': 'hotel_search.date_range'}]}]","Possibly, June 10th through June 15th.",,x,,,,,,,,,,[]
118018,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,8,ASSISTANT,Okay I've got those details. Now tell me about what you're looking for in your hotel.,,Okay I've got those details.,,confirmation,,,,,confirmation,,,,sequence_closer,"['confirmation', 'sequence_closer']"
118019,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,8,ASSISTANT,Okay I've got those details. Now tell me about what you're looking for in your hotel.,,Now tell me about what you're looking for in your hotel.,,repair_initiator,repair_initiator,,,,,,,,,['repair_initiator']
118020,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,9,USER,Do you have any special nature tours offered at this hotel?,"[{'start_index': 12, 'end_index': 58, 'text': 'any special nature tours offered at this hotel', 'annotations': [{'name': 'hotel_search.other_request'}]}]",Do you have any special nature tours offered at this hotel?,,greeting,,,greeting,,,,,inquiry,,"['greeting', 'inquiry']"
118021,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,10,USER,A special nature tours offered at this hotel.,"[{'start_index': 0, 'end_index': 44, 'text': 'A special nature tours offered at this hotel', 'annotations': [{'name': 'hotel_search.other_request'}]}]",A special nature tours offered at this hotel.,,greeting,,,greeting,,,,,,,['greeting']
118022,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,11,ASSISTANT,I can see if there's any hotels that offer that.,,I can see if there's any hotels that offer that.,,x,,,,,,,,,,[]
118023,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,12,USER,Great.,,Great.,,sequence_closer,,,,,,,,,sequence_closer,['sequence_closer']
118024,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,13,ASSISTANT,Just a moment.,,Just a moment.,,x,,,,,,,,,,[]
118025,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,14,ASSISTANT,I did not find any hotels that offer tours out of the hotel but there are many tour companies around all of the hotels.,"[{'start_index': 0, 'end_index': 118, 'text': 'I did not find any hotels that offer tours out of the hotel but there are many tour companies around all of the hotels', 'annotations': [{'name': 'hotel_search.other_request'}]}]",I did not find any hotels that offer tours out of the hotel but there are many tour companies around all of the hotels.,,x,,,,,,,,,,[]
118026,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,15,USER,"Okay, great.",,"Okay, great.",,confirmation,,,,,confirmation,,,,sequence_closer,"['confirmation', 'sequence_closer']"
118027,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,16,ASSISTANT,Are there other things that you're looking for in the hotel?,,Are there other things that you're looking for in the hotel?,,greeting,,,greeting,,,,,inquiry,,"['greeting', 'inquiry']"
118028,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,17,USER,"Yes, I'd like a four-star hotel.","[{'start_index': 16, 'end_index': 25, 'text': 'four-star', 'annotations': [{'name': 'hotel_search.star_rating'}]}]","Yes, I'd like a four-star hotel.",,confirmation,,,,,confirmation,,,,,['confirmation']
118029,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,18,ASSISTANT,"You got it, anything else?",,"You got it, anything else?",,greeting,,,greeting,,confirmation,,,inquiry,,"['greeting', 'confirmation', 'inquiry']"
118030,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,19,USER,A fitness center.,"[{'start_index': 2, 'end_index': 16, 'text': 'fitness center', 'annotations': [{'name': 'hotel_search.amenity'}]}]",A fitness center.,,x,,,,,,,,,,[]
118031,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,20,ASSISTANT,"Sure, no problem, what else?",,"Sure, no problem, what else?",,repair_initiator,repair_initiator,,,,confirmation,,disconfirmation,inquiry,,"['repair_initiator', 'confirmation', 'disconfirmation', 'inquiry']"
118032,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,21,USER,Do you have a restaurant with some outdoor patio seating?,"[{'start_index': 14, 'end_index': 56, 'text': 'restaurant with some outdoor patio seating', 'annotations': [{'name': 'hotel_search.amenity'}]}]",Do you have a restaurant with some outdoor patio seating?,,x,,,,,,,,inquiry,,['inquiry']
118033,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,22,ASSISTANT,"I can check that for you, is there other things you would like me to look for?",,"I can check that for you, is there other things you would like me to look for?",,greeting,,,greeting,,,,,inquiry,,"['greeting', 'inquiry']"
118034,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,23,USER,Possibly one with a nice pool.,"[{'start_index': 25, 'end_index': 29, 'text': 'pool', 'annotations': [{'name': 'hotel_search.amenity'}]}]",Possibly one with a nice pool.,,x,,,,,,,,,,[]
118035,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,24,ASSISTANT,And a hot tub.,"[{'start_index': 6, 'end_index': 13, 'text': 'hot tub', 'annotations': [{'name': 'hotel_search.amenity'}]}]",And a hot tub.,,x,,,,,,,,,,[]
118036,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,25,USER,"No problem, is there more?",,"No problem, is there more?",,x,,,,,,,,inquiry,,['inquiry']
118037,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,26,ASSISTANT,"You got it, you have more things that you like to list.",,"You got it, you have more things that you like to list.",,greeting,,,greeting,,confirmation,,,,,"['greeting', 'confirmation']"
118038,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,27,USER,That's it for now.,,That's it for now.,,confirmation,,,,,confirmation,,,,,['confirmation']
118039,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,28,ASSISTANT,Are any of your preferences more important than others?,,Are any of your preferences more important than others?,,x,,,,,,,,inquiry,,['inquiry']
118040,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,29,USER,I think the star rating.,"[{'start_index': 0, 'end_index': 23, 'text': 'I think the star rating', 'annotations': [{'name': 'hotel_search.other_request'}]}]",I think the star rating.,,greeting,,,greeting,,,,,,,['greeting']
118041,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,30,ASSISTANT,Of course.,,Of course.,,x,,,,,,,,,,[]
118042,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,31,ASSISTANT,Just a moment.,,Just a moment.,,x,,,,,,,,,,[]
118043,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,32,USER,"Yeah, the second one.",,"Yeah, the second one.",,confirmation,,,,,confirmation,,,,,['confirmation']
118044,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,33,ASSISTANT,"You have a few good options, first there's the Brazilian Court Hotel and Beach Club, that means all of your amenity request it is a 4.2 hotel for $273 a night. Then there's the Palm Beach Marriott Singer Island Beach Resort for $261 a night with us 4.3 user rating and a 4-star hotel. Would you like me to tell you more about any of these?","[{'start_index': 47, 'end_index': 83, 'text': 'Brazilian Court Hotel and Beach Club', 'annotations': [{'name': 'hotel1_detail.name.hotel'}]}, {'start_index': 177, 'end_index': 223, 'text': 'Palm Beach Marriott Singer Island Beach Resort', 'annotations': [{'name': 'hotel2_detail.name.hotel'}]}, {'start_index': 228, 'end_index': 240, 'text': '$261 a night', 'annotations': [{'name': 'hotel2_detail.price_per_night'}]}, {'start_index': 249, 'end_index': 252, 'text': '4.3', 'annotations': [{'name': 'hotel2_detail.customer_rating'}]}, {'start_index': 271, 'end_index': 283, 'text': '4-star hotel', 'annotations': [{'name': 'hotel2_detail.star_rating'}]}, {'start_index': 132, 'end_index': 135, 'text': '4.2', 'annotations': [{'name': 'hotel1_detail.customer_rating'}]}, {'start_index': 146, 'end_index': 158, 'text': '$273 a night', 'annotations': [{'name': 'hotel1_detail.price_per_night'}]}]","You have a few good options, first there's the Brazilian Court Hotel and Beach Club, that means all of your amenity request it is a 4.2 hotel for $273 a night.",,x,,,,,,,,,,[]
118045,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,33,ASSISTANT,"You have a few good options, first there's the Brazilian Court Hotel and Beach Club, that means all of your amenity request it is a 4.2 hotel for $273 a night. Then there's the Palm Beach Marriott Singer Island Beach Resort for $261 a night with us 4.3 user rating and a 4-star hotel. Would you like me to tell you more about any of these?","[{'start_index': 47, 'end_index': 83, 'text': 'Brazilian Court Hotel and Beach Club', 'annotations': [{'name': 'hotel1_detail.name.hotel'}]}, {'start_index': 177, 'end_index': 223, 'text': 'Palm Beach Marriott Singer Island Beach Resort', 'annotations': [{'name': 'hotel2_detail.name.hotel'}]}, {'start_index': 228, 'end_index': 240, 'text': '$261 a night', 'annotations': [{'name': 'hotel2_detail.price_per_night'}]}, {'start_index': 249, 'end_index': 252, 'text': '4.3', 'annotations': [{'name': 'hotel2_detail.customer_rating'}]}, {'start_index': 271, 'end_index': 283, 'text': '4-star hotel', 'annotations': [{'name': 'hotel2_detail.star_rating'}]}, {'start_index': 132, 'end_index': 135, 'text': '4.2', 'annotations': [{'name': 'hotel1_detail.customer_rating'}]}, {'start_index': 146, 'end_index': 158, 'text': '$273 a night', 'annotations': [{'name': 'hotel1_detail.price_per_night'}]}]",Then there's the Palm Beach Marriott Singer Island Beach Resort for $261 a night with us 4.3 user rating and a 4-star hotel.,,x,,,,,,,,,,[]
118046,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,33,ASSISTANT,"You have a few good options, first there's the Brazilian Court Hotel and Beach Club, that means all of your amenity request it is a 4.2 hotel for $273 a night. Then there's the Palm Beach Marriott Singer Island Beach Resort for $261 a night with us 4.3 user rating and a 4-star hotel. Would you like me to tell you more about any of these?","[{'start_index': 47, 'end_index': 83, 'text': 'Brazilian Court Hotel and Beach Club', 'annotations': [{'name': 'hotel1_detail.name.hotel'}]}, {'start_index': 177, 'end_index': 223, 'text': 'Palm Beach Marriott Singer Island Beach Resort', 'annotations': [{'name': 'hotel2_detail.name.hotel'}]}, {'start_index': 228, 'end_index': 240, 'text': '$261 a night', 'annotations': [{'name': 'hotel2_detail.price_per_night'}]}, {'start_index': 249, 'end_index': 252, 'text': '4.3', 'annotations': [{'name': 'hotel2_detail.customer_rating'}]}, {'start_index': 271, 'end_index': 283, 'text': '4-star hotel', 'annotations': [{'name': 'hotel2_detail.star_rating'}]}, {'start_index': 132, 'end_index': 135, 'text': '4.2', 'annotations': [{'name': 'hotel1_detail.customer_rating'}]}, {'start_index': 146, 'end_index': 158, 'text': '$273 a night', 'annotations': [{'name': 'hotel1_detail.price_per_night'}]}]",Would you like me to tell you more about any of these?,,x,,,,,,,,inquiry,,['inquiry']
118047,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,34,USER,"Just a basic description, please.",,"Just a basic description, please.",,x,,,,,,,,,,[]
118048,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,35,ASSISTANT,"Overlooking the ocean and 6 miles from Rapids Water Park, this upscale beachfront condo resort is 8 miles from high-end shopping and dining at CityPlace.","[{'start_index': 26, 'end_index': 56, 'text': '6 miles from Rapids Water Park', 'annotations': [{'name': 'hotel_search.sub_location.hotel'}]}, {'start_index': 98, 'end_index': 152, 'text': '8 miles from high-end shopping and dining at CityPlace', 'annotations': [{'name': 'hotel_search.sub_location.hotel'}]}, {'start_index': 0, 'end_index': 152, 'text': 'Overlooking the ocean and 6 miles from Rapids Water Park, this upscale beachfront condo resort is 8 miles from high-end shopping and dining at CityPlace', 'annotations': [{'name': 'hotel1_detail.other_detail'}]}]","Overlooking the ocean and 6 miles from Rapids Water Park, this upscale beachfront condo resort is 8 miles from high-end shopping and dining at CityPlace.",,greeting,,,greeting,,,,,,,['greeting']
118049,hotels,dlg-3a8396c4-8afb-48bb-866c-bcdc4f855ce7,hotel-8,36,USER,Can you read me the description of the other hotel that you listed?,,Can you read me the description of the other hotel that you listed?,,x,,,,,,,,inquiry,,['inquiry']
